tpr,fpr,prec,acc,f1,age: eod,age: aod,age: spd,age: situation,age: AUC,age: P@10,Favor,Preprocessing
42 (1),3 (0),66 (1),90 (0),52 (1),7 (8),5 (4),7 (2),0 (0),0 (0),0 (0),None,None
87 (1),15 (0),45 (1),85 (0),59 (1),-4 (5),0 (3),7 (3),0 (0),0 (0),0 (0),None,FairBalanceClass
85 (1),14 (0),45 (1),85 (0),59 (1),5 (3),8 (2),16 (2),0 (0),91 (0),10 (10),Young (0.1),FairBalanceClass
94 (0),22 (0),37 (1),79 (0),53 (1),-16 (6),-10 (4),-1 (3),0 (0),91 (0),40 (10),Old (0.1),FairBalanceClass
84 (1),14 (0),46 (0),85 (0),59 (0),8 (4),12 (2),19 (3),0 (0),90 (0),20 (10),Young (0.2),FairBalanceClass
94 (0),26 (0),34 (0),76 (0),50 (0),-20 (5),-14 (3),-5 (2),0 (0),90 (0),40 (9),Old (0.2),FairBalanceClass
84 (1),14 (0),46 (1),85 (0),59 (1),10 (4),14 (2),22 (2),0 (0),90 (0),20 (20),Young (0.3),FairBalanceClass
95 (1),28 (1),32 (1),74 (0),48 (1),-18 (7),-14 (3),-7 (3),0 (0),89 (0),50 (19),Old (0.3),FairBalanceClass
83 (1),13 (0),46 (1),85 (0),59 (1),11 (4),15 (3),23 (3),0 (0),90 (0),30 (20),Young (0.4),FairBalanceClass
95 (1),30 (1),31 (1),73 (0),47 (1),-24 (7),-19 (3),-10 (3),0 (0),89 (0),60 (9),Old (0.4),FairBalanceClass
