Algorithm,Dataset,FairBalance,F1,Accuracy,Sex: AOD,Sex: EOD,Race: AOD,Race: EOD,Age: AOD,Age: EOD
SVM,compas,before,0.62 (0.02),0.64 (0.01),0.24 (0.17),0.28 (0.19),0.16 (0.13),0.19 (0.15),,
SVM,compas,after,0.61 (0.02),0.65 (0.00),0.03 (0.03),0.03 (0.04),0.04 (0.04),0.04 (0.05),,
SVM,adult,before,0.57 (0.00),0.73 (0.01),0.38 (0.05),0.46 (0.06),0.15 (0.05),0.16 (0.06),,
SVM,adult,after,0.53 (0.00),0.70 (0.01),0.01 (0.01),0.02 (0.02),0.02 (0.02),0.01 (0.02),,
SVM,default,before,0.47 (0.01),0.71 (0.02),0.10 (0.05),0.09 (0.04),,,,
SVM,default,after,0.49 (0.00),0.75 (0.01),0.01 (0.02),0.01 (0.02),,,,
SVM,heart,before,0.77 (0.02),0.79 (0.02),,,,,0.16 (0.07),0.13 (0.09)
SVM,heart,after,0.77 (0.03),0.79 (0.03),,,,,0.03 (0.03),0.03 (0.04)
SVM,german,before,0.43 (0.04),0.55 (0.03),0.10 (0.10),0.11 (0.12),,,,
SVM,german,after,0.47 (0.02),0.56 (0.02),0.05 (0.06),0.06 (0.04),,,,
RF,compas,before,0.59 (0.00),0.62 (0.00),0.13 (0.01),0.13 (0.03),0.11 (0.02),0.16 (0.02),,
RF,compas,after,0.57 (0.01),0.61 (0.01),0.05 (0.01),0.05 (0.03),0.03 (0.01),0.07 (0.02),,
RF,adult,before,0.55 (0.00),0.75 (0.00),0.35 (0.01),0.46 (0.01),0.18 (0.01),0.21 (0.01),,
RF,adult,after,0.53 (0.00),0.72 (0.00),0.16 (0.01),0.23 (0.01),0.10 (0.01),0.12 (0.01),,
RF,default,before,0.46 (0.00),0.82 (0.00),0.01 (0.00),0.01 (0.01),,,,
RF,default,after,0.49 (0.00),0.81 (0.00),0.01 (0.00),0.01 (0.00),,,,
RF,heart,before,0.80 (0.01),0.82 (0.01),,,,,0.12 (0.03),0.05 (0.03)
RF,heart,after,0.79 (0.02),0.81 (0.02),,,,,0.10 (0.04),0.03 (0.03)
RF,german,before,0.43 (0.02),0.62 (0.01),0.11 (0.04),0.16 (0.08),,,,
RF,german,after,0.45 (0.02),0.61 (0.01),0.05 (0.03),0.08 (0.05),,,,
LR,compas,before,0.65 (0.00),0.67 (0.00),0.30 (0.00),0.32 (0.01),0.17 (0.00),0.21 (0.01),,
LR,compas,after,0.62 (0.00),0.66 (0.00),0.03 (0.01),0.03 (0.01),0.06 (0.01),0.03 (0.01),,
LR,adult,before,0.57 (0.00),0.73 (0.00),0.37 (0.00),0.45 (0.00),0.17 (0.00),0.19 (0.00),,
LR,adult,after,0.53 (0.00),0.70 (0.00),0.00 (0.00),0.03 (0.00),0.02 (0.00),0.01 (0.00),,
LR,default,before,0.48 (0.00),0.69 (0.00),0.12 (0.00),0.10 (0.00),,,,
LR,default,after,0.47 (0.00),0.69 (0.00),0.02 (0.00),0.01 (0.00),,,,
LR,heart,before,0.81 (0.01),0.83 (0.01),,,,,0.13 (0.03),0.11 (0.05)
LR,heart,after,0.81 (0.01),0.82 (0.01),,,,,0.04 (0.03),0.03 (0.04)
LR,german,before,0.51 (0.01),0.60 (0.01),0.06 (0.02),0.04 (0.02),,,,
LR,german,after,0.50 (0.01),0.60 (0.01),0.01 (0.01),0.01 (0.02),,,,
NB,compas,before,0.56 (0.00),0.65 (0.00),0.35 (0.00),0.45 (0.00),0.36 (0.00),0.43 (0.00),,
NB,compas,after,0.53 (0.00),0.65 (0.00),0.09 (0.00),0.11 (0.01),0.12 (0.00),0.16 (0.00),,
NB,adult,before,0.54 (0.00),0.80 (0.00),0.38 (0.00),0.58 (0.00),0.34 (0.00),0.55 (0.00),,
NB,adult,after,0.56 (0.00),0.72 (0.00),0.05 (0.00),0.07 (0.00),0.03 (0.00),0.02 (0.00),,
NB,default,before,0.50 (0.01),0.70 (0.01),0.07 (0.01),0.06 (0.01),,,,
NB,default,after,0.42 (0.00),0.49 (0.02),0.01 (0.00),0.02 (0.01),,,,
NB,heart,before,0.83 (0.01),0.84 (0.01),,,,,0.14 (0.02),0.14 (0.02)
NB,heart,after,0.82 (0.01),0.84 (0.01),,,,,0.07 (0.02),0.06 (0.01)
NB,german,before,0.49 (0.01),0.61 (0.01),0.09 (0.02),0.10 (0.03),,,,
NB,german,after,0.50 (0.01),0.60 (0.01),0.04 (0.02),0.04 (0.03),,,,
DT,compas,before,0.59 (0.00),0.61 (0.00),0.11 (0.02),0.11 (0.03),0.11 (0.01),0.15 (0.02),,
DT,compas,after,0.56 (0.01),0.61 (0.00),0.03 (0.02),0.03 (0.03),0.03 (0.02),0.07 (0.02),,
DT,adult,before,0.55 (0.00),0.72 (0.00),0.33 (0.01),0.42 (0.01),0.16 (0.01),0.19 (0.01),,
DT,adult,after,0.52 (0.00),0.71 (0.00),0.14 (0.01),0.21 (0.01),0.09 (0.01),0.11 (0.01),,
DT,default,before,0.40 (0.01),0.73 (0.00),0.02 (0.01),0.01 (0.01),,,,
DT,default,after,0.40 (0.00),0.73 (0.00),0.01 (0.01),0.01 (0.01),,,,
DT,heart,before,0.71 (0.02),0.74 (0.02),,,,,0.16 (0.06),0.06 (0.07)
DT,heart,after,0.71 (0.03),0.73 (0.03),,,,,0.12 (0.05),0.05 (0.04)
DT,german,before,0.44 (0.02),0.60 (0.01),0.10 (0.03),0.10 (0.06),,,,
DT,german,after,0.44 (0.02),0.60 (0.01),0.05 (0.03),0.04 (0.04),,,,
